,Place,Place Latitude,Place Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
45,Palakkad,10.7691989,76.6512469,Balaji Metal Works,10.776386260986328,76.64580535888672,Factory
46,Kannur,11.8762254,75.3738043,Cream Packs,11.877588766410028,75.37740475325398,Factory
47,Salem,11.6612012,78.1602498,Milk Distributing Unit,11.667609214782715,78.1565933227539,Factory
48,Kanpur,26.4609135,80.3217588,Trending this month,26.457640427002303,80.32036900520325,Factory
49,Kanpur,26.4609135,80.3217588,Queen International,26.467567,80.33074,Factory
50,Kanpur,26.4609135,80.3217588,Allied Chemicals,26.456998,80.30913,Factory
51,Kanpur,26.4609135,80.3217588,Crossroad Auto,26.46446990966797,80.30400085449219,Factory
52,Kanpur,26.4609135,80.3217588,Tarlok Singh & Co.,26.47142360625793,80.30606309885714,Factory
53,Rajkot,22.3051991,70.8028335,Popular Traders,22.296017,70.794699,Factory
54,Rajkot,22.3051991,70.8028335,Manish automobiles,22.2897361,70.7996944,Factory
55,Kochi,9.931308,76.2674136,VTJ Marine,9.932769,76.266409,Factory
56,Kochi,9.931308,76.2674136,Vee Tee Jay Exim,9.932858,76.266787,Factory
57,Kochi,9.931308,76.2674136,Sarswathi Metal Works,9.932876367134789,76.26907239239772,Factory
58,Kochi,9.931308,76.2674136,Nippon Toyota,9.931764652164974,76.27501741547732,Factory
59,Kochi,9.931308,76.2674136,Aswin Associates,9.940435105637514,76.2611997127533,Factory
60,Kochi,9.931308,76.2674136,Matsyafed Ice & Freezing Plant,9.945071,76.261154,Factory
61,Kochi,9.931308,76.2674136,Placo Plastics,9.946107,76.260021,Factory
62,Kochi,9.931308,76.2674136,Indian Marine Industries,9.914344766232205,76.26806550217411,Factory
63,Kochi,9.931308,76.2674136,Rabiya Sea Foods,9.914157217611251,76.26843318768516,Factory
64,Peenya,13.0329419,77.5273253,"Industrial Estate,peenya",13.031025443341257,77.52056121335711,Factory
65,Peenya,13.0329419,77.5273253,ABB Limited,13.031462025357715,77.51504003578651,Factory
66,Surat,21.1864607,72.8081281,coral laminates,21.175728044649187,72.81308261024157,Factory
67,Surat,21.1864607,72.8081281,RJD Taxtile Park,21.184937,72.792782,Factory
68,Rourkela,22.253999399999998,84.8577520139704,Rourkela Steel Plant,22.24703433454438,84.84069789330688,Factory
69,Visakhapatnam,17.7231276,83.3012842,En Route to Hell,17.721263925951146,83.31825616357479,Factory
70,Ahmedabad,23.0216238,72.5797068,Siddhi Vinayak Plastomech,23.02172254056366,72.58079051971434,Factory
71,Ahmedabad,23.0216238,72.5797068,Paras Compressors,23.02002414070297,72.5808334350586,Factory
